Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Vakantieverhuur,1_Baseline,528.0,4.0,4.0,3.67,5.0,4.67,0.8,0.74
Vakantieverhuur,2_LegalBERT_RAG,660.0,4.33,4.33,4.0,5.0,5.0,0.84,0.66
Vakantieverhuur,3_LegalBERT_RAG_OPTIMIZED,415.67,3.33,2.33,3.33,4.67,4.33,0.78,0.7
Woonruimteverdeling,1_Baseline,544.0,3.0,3.33,3.67,4.33,4.0,0.82,0.66
Woonruimteverdeling,2_LegalBERT_RAG,743.0,3.33,3.0,3.33,4.33,4.0,0.87,0.67
Woonruimteverdeling,3_LegalBERT_RAG_OPTIMIZED,440.33,2.67,2.0,3.0,4.0,3.67,0.83,0.56
