Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,638.67,3.33,3.0,3.33,4.33,4.0,0.86,0.63
Housing Allocation,2_LegalBERT_RAG,745.0,3.33,3.0,3.33,4.67,4.33,0.89,0.54
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,791.67,3.33,3.67,3.33,4.67,4.33,0.89,0.67
Vacation Rental,1_Baseline,617.67,4.0,3.33,3.67,5.0,5.0,0.83,0.68
Vacation Rental,2_LegalBERT_RAG,704.67,3.67,4.0,3.0,4.67,4.33,0.85,0.64
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,759.0,4.0,4.0,3.67,4.67,4.67,0.88,0.83
