Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,594.67,3.67,4.0,3.33,4.33,4.0,0.83,0.57
Housing Allocation,2_LegalBERT_RAG,675.0,3.33,2.33,3.33,4.67,4.0,0.85,0.55
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,579.67,3.33,2.33,3.33,4.67,4.33,0.87,0.63
Vacation Rental,1_Baseline,568.33,4.0,3.33,3.67,4.67,4.67,0.81,0.69
Vacation Rental,2_LegalBERT_RAG,632.0,4.67,4.33,4.0,5.0,5.0,0.84,0.77
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,522.33,4.67,4.33,4.33,5.0,5.0,0.85,0.77
