Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Vakantieverhuur,1_Baseline,515.33,4.33,3.67,4.0,5.0,5.0,0.83,0.71
Vakantieverhuur,2_LegalBERT_RAG,675.67,5.0,4.67,4.33,5.0,5.0,0.86,0.78
Vakantieverhuur,3_LegalBERT_RAG_OPTIMIZED,415.67,3.33,2.33,3.33,4.67,4.33,0.82,0.7
Woonruimteverdeling,1_Baseline,638.33,3.67,3.33,3.33,4.33,4.0,0.85,0.66
Woonruimteverdeling,2_LegalBERT_RAG,760.67,3.0,2.33,3.33,4.33,3.67,0.86,0.59
Woonruimteverdeling,3_LegalBERT_RAG_OPTIMIZED,457.67,2.33,1.67,2.33,3.67,3.33,0.83,0.53
