Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,640.33,3.0,3.33,3.0,4.33,3.67,0.84,0.67
Housing Allocation,2_LegalBERT_RAG,707.67,3.0,3.33,3.0,4.33,3.67,0.85,0.56
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,641.67,3.0,2.0,3.0,4.0,3.67,0.87,0.71
Vacation Rental,1_Baseline,562.33,4.33,3.67,4.0,5.0,5.0,0.83,0.71
Vacation Rental,2_LegalBERT_RAG,657.67,4.0,4.67,3.67,5.0,4.67,0.86,0.73
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,547.0,4.0,3.33,4.0,5.0,5.0,0.85,0.81
