Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,647.67,3.33,3.33,3.0,4.33,4.0,0.84,0.62
Housing Allocation,2_LegalBERT_RAG,714.33,3.0,2.67,3.33,4.33,4.0,0.86,0.54
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,695.33,3.33,3.0,3.33,4.67,4.33,0.88,0.66
Vacation Rental,1_Baseline,570.0,4.0,3.33,3.67,4.67,4.67,0.83,0.76
Vacation Rental,2_LegalBERT_RAG,698.67,4.67,4.67,4.0,5.0,5.0,0.87,0.74
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,591.0,4.33,4.33,4.0,5.0,5.0,0.89,0.76
