Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,562.33,2.67,3.33,3.0,4.33,3.67,0.83,0.6
Housing Allocation,2_LegalBERT_RAG,718.0,3.67,3.67,3.33,4.33,4.0,0.86,0.55
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,766.67,3.33,3.67,3.33,4.67,4.33,0.87,0.65
Vacation Rental,1_Baseline,559.0,4.0,3.33,3.67,4.67,4.67,0.81,0.75
Vacation Rental,2_LegalBERT_RAG,702.0,4.67,4.33,4.0,5.0,5.0,0.86,0.79
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,728.0,4.33,4.33,4.0,5.0,5.0,0.88,0.74
