Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Vakantieverhuur,1_Baseline,571.33,4.33,3.67,4.0,5.0,5.0,0.82,0.75
Vakantieverhuur,2_LegalBERT_RAG,578.67,4.67,4.33,4.0,5.0,5.0,0.85,0.69
Vakantieverhuur,3_LegalBERT_RAG_OPTIMIZED,433.33,3.33,3.33,3.67,4.67,4.33,0.79,0.67
Woonruimteverdeling,1_Baseline,564.0,3.33,3.67,3.33,4.33,4.0,0.84,0.62
Woonruimteverdeling,2_LegalBERT_RAG,686.33,3.0,2.33,3.33,4.33,4.0,0.85,0.62
Woonruimteverdeling,3_LegalBERT_RAG_OPTIMIZED,475.67,3.0,2.33,3.33,4.33,4.0,0.83,0.53
