Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Vakantieverhuur,1_Baseline,549.33,4.0,4.0,3.67,5.0,4.67,0.82,0.73
Vakantieverhuur,2_LegalBERT_RAG,638.33,4.67,4.33,4.0,5.0,5.0,0.85,0.68
Vakantieverhuur,3_LegalBERT_RAG_OPTIMIZED,441.0,3.33,2.67,3.0,4.67,4.33,0.84,0.71
Woonruimteverdeling,1_Baseline,592.67,3.33,3.33,3.33,4.33,4.0,0.84,0.65
Woonruimteverdeling,2_LegalBERT_RAG,665.67,3.33,3.67,3.33,4.33,4.0,0.87,0.57
Woonruimteverdeling,3_LegalBERT_RAG_OPTIMIZED,447.33,2.33,2.33,2.67,4.0,3.33,0.81,0.54
