Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,585.33,4.0,4.0,4.0,5.0,5.0,0.85,0.62
Housing Allocation,2_LegalBERT_RAG,724.33,3.67,3.67,3.33,4.33,4.0,0.87,0.62
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,624.33,3.33,3.33,3.0,4.67,4.0,0.87,0.61
Vacation Rental,1_Baseline,550.67,4.0,3.33,3.67,4.67,4.67,0.83,0.75
Vacation Rental,2_LegalBERT_RAG,627.67,4.33,4.33,4.0,5.0,5.0,0.84,0.73
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,659.67,4.67,4.33,4.0,5.0,5.0,0.87,0.81
