Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Vakantieverhuur,1_Baseline,520.0,4.0,3.33,3.67,4.67,4.67,0.82,0.73
Vakantieverhuur,2_LegalBERT_RAG,634.0,4.33,4.0,4.0,5.0,5.0,0.84,0.69
Vakantieverhuur,3_LegalBERT_RAG_OPTIMIZED,437.33,3.33,3.0,3.33,4.67,4.33,0.8,0.69
Woonruimteverdeling,1_Baseline,619.67,3.33,3.67,3.33,4.33,4.0,0.85,0.57
Woonruimteverdeling,2_LegalBERT_RAG,722.67,3.0,2.67,3.0,4.33,4.0,0.87,0.64
Woonruimteverdeling,3_LegalBERT_RAG_OPTIMIZED,478.33,2.67,2.0,2.67,4.0,3.67,0.82,0.49
