Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT
Housing Allocation,1_Baseline,566.0,3.0,3.33,3.0,4.33,4.0,0.82,0.67
Housing Allocation,2_LegalBERT_RAG,704.67,3.33,2.67,3.67,4.67,4.33,0.85,0.6
Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,549.0,3.0,3.67,3.33,4.33,4.0,0.8,0.49
Vacation Rental,1_Baseline,532.0,4.0,3.33,3.67,4.67,4.67,0.82,0.7
Vacation Rental,2_LegalBERT_RAG,611.33,4.67,4.33,4.0,5.0,5.0,0.85,0.68
Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,532.0,4.67,4.0,4.0,5.0,5.0,0.83,0.6
